#NAME,SampleType
DPI_1_B1,1_DPI
DPI_1_B2,1_DPI
DPI_1_B3,1_DPI
DPI_1_B4,1_DPI
DPI_2_B1,2_DPI
DPI_2_B2,2_DPI
DPI_2_B3,2_DPI
DPI_2_B4,2_DPI
DPI_3_B1,3_DPI
DPI_3_B2,3_DPI
DPI_3_B3,3_DPI
DPI_3_B4,3_DPI
DPI_5_B1,5_DPI
DPI_5_B2,5_DPI
DPI_5_B3,5_DPI
DPI_5_B4,5_DPI
DPI_7_B1,7_DPI
DPI_7_B2,7_DPI
DPI_7_B3,7_DPI
DPI_7_B4,7_DPI
DPI_10_B1,10_DPI
DPI_10_B2,10_DPI
DPI_10_B3,10_DPI
DPI_10_B4,10_DPI
DPI_14_B2,14_DPI
DPI_14_B3,14_DPI
DPI_14_B4,14_DPI
DPI_21_B1,21_DPI
DPI_21_B2,21_DPI
DPI_21_B3,21_DPI
DPI_21_B4,21_DPI
DPI_28_B1,28_DPI
DPI_28_B2,28_DPI
DPI_28_B3,28_DPI
DPI_28_B4,28_DPI
DPI_35_B1,35_DPI
DPI_35_B2,35_DPI
DPI_35_B3,35_DPI
DPI_35_B4,35_DPI
DPI_42_B1,42_DPI
DPI_42_B2,42_DPI
DPI_42_B3,42_DPI
DPI_42_B4,42_DPI
DPI_63_B1,63_DPI
DPI_63_B2,63_DPI
DPI_63_B3,63_DPI
DPI_63_B4,63_DPI
