,DPI_1_B1,DPI_2_B1,DPI_3_B1,DPI_5_B1,DPI_7_B1,DPI_10_B1,DPI_21_B1,DPI_28_B1,DPI_35_B1,DPI_42_B1,DPI_63_B1,DPI_1_B2,DPI_2_B2,DPI_3_B2,DPI_5_B2,DPI_7_B2,DPI_10_B2,DPI_21_B2,DPI_28_B2,DPI_35_B2,DPI_42_B2,DPI_63_B2,DPI_1_B3,DPI_2_B3,DPI_3_B3,DPI_5_B3,DPI_7_B3,DPI_10_B3,DPI_21_B3,DPI_28_B3,DPI_35_B3,DPI_42_B3,DPI_63_B3,DPI_1_B4,DPI_2_B4,DPI_3_B4,DPI_5_B4,DPI_7_B4,DPI_10_B4,DPI_21_B4,DPI_28_B4,DPI_35_B4,DPI_42_B4,DPI_63_B4
LjN209,0.09847419,0.020759958,0.011177664,0.011205512,0.01582663,0.520021509,0.32204286,0.450386571,0.168455075,0.851512694,0.285498162,0.043326678,0.01785578,0.016639681,0.020530832,0.012769215,0.058725353,0.380567022,0.231107242,0.347004033,0.557546725,0.310642946,0.128735027,0.034820789,0.015781205,0.008571989,0.013640862,0.338909519,0.302869357,0.248931866,0.274798046,0.448795191,0.778085965,0.049849981,0.017690999,0.172330193,0.031570828,0.013809286,0.049013178,0.384186791,0.071739744,0.641464364,0.157948127,0.391217082
LjR1,0.001076116,0.0005396,0.006936219,0.000538013,0.000253187,0.000207956,0.021618202,0.004283248,0.015487209,0.00030588,0.022736094,0.001980168,0.00151384,0.03085732,0.000871259,0.000590329,0.000231328,0.00774794,0.012836996,0.018253375,0.003485173,0.00855248,0.000499845,0.000996272,0.001385478,0.000584387,0.000310499,0.000297015,0.009571525,0.015958722,0.011657962,0.004728952,0.00214976,0.001150027,0.003503377,0,0.000421037,0.000449135,0.000314953,0.009570677,0.014404119,0.00506901,0.00602004,0.016226937
LjR10,0.001794231,0.002653031,0.002421614,0.001755378,0.001908074,0.000743293,0.000681609,0.005075513,0.000978218,0.000154162,0.000683238,0.002129627,0.002486501,0.00191856,0.001549293,0.001806248,0.00059974,0.00050109,0.001484198,0.000409463,0.000852853,0.001455839,0.004241112,0.006570287,0.001490945,0.00115121,0.001870466,0.00087894,0.000407215,0.001115061,0.001147795,0.000827137,0.00017621,0.002668837,0.002367363,0,0.002360485,0.002165131,0.001645428,0.000578696,0.001651588,0.000359318,0.005446933,0.00026062
LjR104,0.002155781,0.000933057,0.00087875,0.000730087,0.000609666,0.000225087,0.000828423,0.000540623,0.000952001,9.14216E-05,0.001503953,0.001925785,0.000983544,0.000443967,0.001049118,0.000719643,0.000354091,0.000757951,0.001364128,0.001170243,0.000795228,0.001358,0.001670807,0.001132814,0.000725845,0.00070577,0.000874427,0.000501415,0.001297222,0.000955321,0.000798088,0.000761853,0.000154184,0.001103342,0.001000649,0,0.00059272,0.00087424,0.000584686,0.000941426,0.000991355,0.000154992,0.001370883,0.001139958
LjR105,0.014887653,0.007098731,0.007099699,0.00687146,0.004461959,0.001594329,0.002418491,0.000663203,0.002815856,3.72932E-05,0,0.019454284,0.007020709,0.003871483,0.003291424,0.003862872,0.002010556,0.001706793,0.002896238,0.002368278,0.000626962,0.000171715,0.009154198,0.005756237,0.007801953,0.004515905,0.005257791,0.00095045,0.002095069,0.001845644,0.001114261,0.000854452,0,0.047790097,0.008742661,0.00409141,0.002156891,0.002444704,0.002228899,0.002935317,0.002486425,0.001557971,0.000376481,3.33373E-05
LjR117,0.000833264,0.002068465,0.001036346,0.000781444,0.001334735,0.000334929,0.000311203,0.000252503,0.000488864,3.76517E-05,6.6038E-05,0.003256855,0.00112441,0.000822036,0.000272269,0.001226068,0.000332489,0.000336867,0.000434436,0.000428741,0.000276601,4.02458E-05,0.001477713,0.001434028,0.000881887,0.000560006,0.001086748,0.000214511,0.000491032,0.000357756,0.000261156,0.000303846,0,0.002060465,0.001952896,0,0.000443197,0.000701606,0.000484543,0.000496499,0.000468884,0.000388825,2.72164E-05,0.000109388
LjR12,0.00160958,0.000239822,0.000818877,0.000937143,0.000238509,9.12287E-05,5.26821E-05,0.000140162,0.000294164,5.16963E-05,0.001014278,0.005818915,0.000402228,0.000734972,0.00052437,0.000423826,0.000437906,0.000187148,0.000105216,0.00030342,0.001673436,0.000314414,0.000612386,0.000167722,0.000309693,0.00018153,0.000299151,0.000411564,0.000202604,0.000121338,0.000398046,0.000377502,0.000357461,0.001703667,0.000184112,0,7.42665E-05,0.000161103,0.0005653,0.00024461,0.000213936,0.000374004,0.006110235,0.000301244
LjR120,0.074363214,0.06050889,0.04491338,0.034408035,0.028242951,0.012453164,0.031188084,0.007567473,0.028863438,0.000549358,0.008608301,0.088411902,0.041988375,0.01654761,0.037598516,0.028998209,0.022652596,0.022045696,0.012249582,0.010752838,0.009357689,0.004129343,0.086760425,0.075172537,0.032789009,0.029979449,0.025449571,0.018616821,0.013235021,0.013598585,0.011001073,0.009504604,0.001109388,0.095614054,0.055389884,0.027272828,0.034909581,0.022018889,0.035837908,0.027801542,0.033036124,0.012362039,0.012874632,0.005242709
LjR122,6.89818E-05,0.00106421,0.000594232,0.002619272,0.003550119,0.000149968,0.003882005,0.00030055,0.000244432,3.40743E-05,0.000330282,0.000781645,0.001206684,0.00030067,0.001137477,0.006455779,0.000228472,0.001038673,0.00105477,6.29861E-05,0.000345751,0.000214815,0.000416538,0.000830227,0.000642541,0.000371787,0.004666117,0.000429022,0.000526961,0.000795032,0.000104442,0.000975991,8.81049E-05,0.000415275,0.000138084,0.000639283,0.000461663,0.002658451,0.000958992,0.00017662,0.000687697,0.000196147,0.000199115,4.16716E-05
LjR125,0.032031425,0.076566922,0.077763889,0.142172151,0.05184275,0.040456535,0.048089443,0.044619963,0.041813508,0.002465958,0.076695883,0.078300278,0.108422785,0.104606485,0.143859062,0.046524749,0.04752016,0.028452541,0.067513277,0.051895234,0.027535769,0.038806402,0.039210594,0.109438955,0.120906468,0.125197437,0.08716755,0.071228439,0.021368885,0.071781073,0.039279481,0.024561656,0.01456841,0.033907646,0.071569488,0.104095829,0.098273359,0.059329825,0.064661993,0.035330282,0.057746154,0.022059232,0.037616485,0.016865451
