#TAXONOMY,Domain,Phylum,Class,Order,Family
LjN209,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae
LjR1,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae
LjR10,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae
LjR101,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae
LjR102,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae
LjR103,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae
LjR104,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae
LjR105,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae
LjR107,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae
LjR109,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae
LjR11,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae
LjR111,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae
LjR117,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae
LjR118,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae
LjR12,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae
LjR120,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae
LjR121,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae
LjR122,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae
LjR124,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae
LjR125,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae
LjR126,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae
LjR129,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae
LjR13,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae
